Method,Constraint,GridSize,NumberOfAgents,PathLength,Time_Median,Time_Average
erlang,IN Square 1 Intersection 1 8,50,15,5,60,60
erlang,IN Square 1 Intersection 1 8,50,15,10,60,60
erlang,IN Square 1 Intersection 1 8,50,15,15,60,60
erlang,IN Square 1 Intersection 1 8,50,15,20,60,60
erlang,IN Square 1 Intersection 1 8,50,20,1,60,60
erlang,IN Square 1 Intersection 1 8,50,20,5,60,60
erlang,IN Square 1 Intersection 1 8,50,20,10,60,60
erlang,IN Square 1 Intersection 1 8,50,20,15,60,60
erlang,IN Square 1 Intersection 1 8,50,20,20,60,60
erlang,IN Square 2 Count 3,10,10,1,0,0
erlang,IN Square 2 Count 3,10,10,5,0,0
erlang,IN Square 2 Count 3,10,10,10,0,0
erlang,IN Square 2 Count 3,10,10,15,0,0
erlang,IN Square 2 Count 3,10,10,20,0,0
erlang,IN Square 2 Count 3,10,15,1,0,0
erlang,IN Square 2 Count 3,10,15,5,0,0
erlang,IN Square 2 Count 3,10,15,10,0,0
erlang,IN Square 2 Count 3,10,15,15,0,0
erlang,IN Square 2 Count 3,10,15,20,0,0
erlang,IN Square 2 Count 3,10,20,1,0,0
erlang,IN Square 2 Count 3,10,20,5,0,0
erlang,IN Square 2 Count 3,10,20,10,0,0
erlang,IN Square 2 Count 3,10,20,15,0,0
erlang,IN Square 2 Count 3,10,20,20,0,0
erlang,IN Square 2 Count 3,15,10,1,0,0
erlang,IN Square 2 Count 3,15,10,5,0,0
erlang,IN Square 2 Count 3,15,10,10,0,0
erlang,IN Square 2 Count 3,15,10,15,0,0
erlang,IN Square 2 Count 3,15,10,20,0,0
erlang,IN Square 2 Count 3,15,15,1,0,0
erlang,IN Square 2 Count 3,15,15,5,0,0
erlang,IN Square 2 Count 3,15,15,10,0,0
erlang,IN Square 2 Count 3,15,15,15,0,0
erlang,IN Square 2 Count 3,15,15,20,0,0
erlang,IN Square 2 Count 3,15,20,1,0,0
erlang,IN Square 2 Count 3,15,20,5,0,0
erlang,IN Square 2 Count 3,15,20,10,0,0
erlang,IN Square 2 Count 3,15,20,15,0,0
erlang,IN Square 2 Count 3,15,20,20,0,0
erlang,IN Square 2 Count 3,20,10,1,0,0
erlang,IN Square 2 Count 3,20,10,5,0,0
erlang,IN Square 2 Count 3,20,10,10,0,0
erlang,IN Square 2 Count 3,20,10,15,0,0
erlang,IN Square 2 Count 3,20,10,20,0,0
erlang,IN Square 2 Count 3,20,15,1,0,0
erlang,IN Square 2 Count 3,20,15,5,0,0
erlang,IN Square 2 Count 3,20,15,10,0,0
erlang,IN Square 2 Count 3,20,15,15,0,0
erlang,IN Square 2 Count 3,20,15,20,0,0
erlang,IN Square 2 Count 3,20,20,1,0,0
erlang,IN Square 2 Count 3,20,20,5,0,0
erlang,IN Square 2 Count 3,20,20,10,0,0
erlang,IN Square 2 Count 3,20,20,15,0,0
erlang,IN Square 2 Count 3,20,20,20,0,0
erlang,IN Square 2 Count 3,50,10,1,11,18
erlang,IN Square 2 Count 3,50,10,5,12,22
erlang,IN Square 2 Count 3,50,10,10,18,22
erlang,IN Square 2 Count 3,50,10,15,16,25
erlang,IN Square 2 Count 3,50,10,20,21,24
erlang,IN Square 2 Count 3,50,15,1,6,8
erlang,IN Square 2 Count 3,50,15,5,5,8
erlang,IN Square 2 Count 3,50,15,10,8,11
erlang,IN Square 2 Count 3,50,15,15,8,8
erlang,IN Square 2 Count 3,50,15,20,8,11
erlang,IN Square 2 Count 3,50,20,1,2,2
erlang,IN Square 2 Count 3,50,20,5,4,5
erlang,IN Square 2 Count 3,50,20,10,7,10
erlang,IN Square 2 Count 3,50,20,15,8,7
erlang,IN Square 2 Count 3,50,20,20,7,8
erlang,IN Square 2 Count 5,10,10,1,0,0
erlang,IN Square 2 Count 5,10,10,5,0,0
erlang,IN Square 2 Count 5,10,10,10,0,0
erlang,IN Square 2 Count 5,10,10,15,0,0
erlang,IN Square 2 Count 5,10,10,20,0,0
erlang,IN Square 2 Count 5,10,15,1,0,0
erlang,IN Square 2 Count 5,10,15,5,0,0
erlang,IN Square 2 Count 5,10,15,10,0,0
erlang,IN Square 2 Count 5,10,15,15,0,0
erlang,IN Square 2 Count 5,10,15,20,0,0
erlang,IN Square 2 Count 5,10,20,1,0,0
erlang,IN Square 2 Count 5,10,20,5,0,0
erlang,IN Square 2 Count 5,10,20,10,0,0
erlang,IN Square 2 Count 5,10,20,15,0,0
erlang,IN Square 2 Count 5,10,20,20,0,0
erlang,IN Square 2 Count 5,15,10,1,2,3
erlang,IN Square 2 Count 5,15,10,5,3,5
erlang,IN Square 2 Count 5,15,10,10,3,5
erlang,IN Square 2 Count 5,15,10,15,2,5
erlang,IN Square 2 Count 5,15,10,20,2,3
erlang,IN Square 2 Count 5,15,15,1,0,1
erlang,IN Square 2 Count 5,15,15,5,1,1
erlang,IN Square 2 Count 5,15,15,10,1,1
erlang,IN Square 2 Count 5,15,15,15,1,1
erlang,IN Square 2 Count 5,15,15,20,0,0
erlang,IN Square 2 Count 5,15,20,1,0,0
erlang,IN Square 2 Count 5,15,20,5,0,0
erlang,IN Square 2 Count 5,15,20,10,0,0
erlang,IN Square 2 Count 5,15,20,15,0,0
erlang,IN Square 2 Count 5,15,20,20,0,0
erlang,IN Square 2 Count 5,20,10,1,44,39
erlang,IN Square 2 Count 5,20,10,5,60,48
erlang,IN Square 2 Count 5,20,10,10,60,41
erlang,IN Square 2 Count 5,20,10,15,47,38
erlang,IN Square 2 Count 5,20,10,20,39,37
erlang,IN Square 2 Count 5,20,15,1,6,7
erlang,IN Square 2 Count 5,20,15,5,6,10
erlang,IN Square 2 Count 5,20,15,10,10,14
erlang,IN Square 2 Count 5,20,15,15,9,14
erlang,IN Square 2 Count 5,20,15,20,5,7
erlang,IN Square 2 Count 5,20,20,1,2,2
erlang,IN Square 2 Count 5,20,20,5,3,3
erlang,IN Square 2 Count 5,20,20,10,3,4
erlang,IN Square 2 Count 5,20,20,15,2,2
erlang,IN Square 2 Count 5,20,20,20,1,2
erlang,IN Square 2 Count 5,50,10,1,60,60
erlang,IN Square 2 Count 5,50,10,5,60,60
erlang,IN Square 2 Count 5,50,10,10,60,60
erlang,IN Square 2 Count 5,50,10,15,60,60
